token_id,token_str,count,log_count
38,E,20457,4.310841945164296
18295,.--,20434,4.3103533890449945
3168, white,20335,4.308244176740606
3032, His,20311,4.307731306161607
2197, sent,20301,4.307517431203132
4318, voice,20239,4.306189050400426
1677, given,20218,4.3057381922083175
2214,For,20217,4.305716711091365
16,/,20130,4.303843774888654
6225, stood,20129,4.303822199862847
2581, rather,20027,4.301615897819519
439, sh,20021,4.301485765632598
593,ance,20013,4.301312195372246
3726,They,19986,4.30072588307482
897, use,19986,4.30072588307482
9328,they,19816,4.297015993577781
9011, Sir,19781,4.296248242948933
2571, others,19781,4.296248242948933
591, per,19721,4.294928933093567
3021, thus,19565,4.291479852236699
333,ay,19450,4.288919605661727
427, N,19421,4.288271588254821
1781, large,19398,4.287756954995199
3039,When,19330,4.286231854028553
472,ard,19278,4.285061975935162
7357, till,19256,4.284566077266973
4131, morning,19229,4.283956699434818
3790, round,19178,4.282803314291728
305, g,19169,4.282599457384596
416, R,19167,4.282554142851803
1735, next,19129,4.281692267160937
1246, present,19123,4.281556025034367
289, th,19111,4.281283412492966
2366, together,19087,4.280737673504682
2032, true,19084,4.280669407886888
297,om,19019,4.279187678432147
3289, fire,18980,4.278296208091274
3543, felt,18958,4.277792518931442
301,id,18939,4.277357044047016
2042,If,18938,4.277334112215984
933,000,18843,4.275150048123735
2647, matter,18788,4.273880551511211
4669, feet,18784,4.27378807956752
566,ence,18758,4.273186531523475
9802,have,18710,4.27207378750001
1978, keep,18696,4.271748699384171
4266, myself,18688,4.271562825432305
4105, poor,18671,4.271167578948088
2822, near,18593,4.2693494692947205
6149, earth,18586,4.269185932813952
1057, does,18511,4.267429880814005
5872,Then,18470,4.266466895440241
2329, air,18449,4.265972830860834
3331, friend,18271,4.2617623176096195
321,ur,18270,4.261738547352538
76,k,18266,4.26164345331189
279,ion,18232,4.260834312172319
87,v,18164,4.259211493228929
2918, held,18062,4.256765837941647
1284, As,18049,4.256453144939036
6150, sea,18043,4.256308749121934
56,W,17999,4.255248376961857
2091, When,17966,4.254451395345017
411, W,17955,4.254185409462092
3333,._,17912,4.253144080570974
456,ated,17891,4.252634615712395
374, 2,17842,4.251443535033363
4089, hear,17822,4.250956439331893
2464,.',17812,4.2507126864591855
2133, body,17803,4.250493191840607
784,ious,17749,4.249173889407112
1561, within,17739,4.248929133718768
4,#,17699,4.247948729257255
2242, lay,17622,4.246055196906444
1551, rest,17620,4.246005904076029
